SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
1992513,884.94,873.39,873.39,882.48,6115386,13104970
1978253,885.68,872.11,882.19,874.57,5843191,12179180
1985872,878.36,869.68,873.35,878.36,4570236,9567310
1978116,877.62,870.08,877.62,877.28,3758294,7713259
1990151,881.89,870.96,876.43,881.52,4617261,10128760
1987811,884.94,878.68,881.51,879.25,5544780,11774410
1957335,878.63,862.09,878.63,862.97,5071603,10853770
1959421,867.33,857.79,861.22,864.79,4221479,9219719
1950283,864.25,858.34,864.08,862.15,2924317,6271673
1948985,867.46,853.86,862.07,856.63,4158739,8252477
1964809,863.17,847.49,855.45,863.12,4185382,9066137
1964193,865.79,859,863.08,862.66,4120494,8811636
2001751,886.58,862.4,862.58,882.24,8353934,17597790
1997544,886.11,880.3,882.79,883.87,4897254,10259960
1961598,883.93,869.53,883.93,869.62,4500600,10597240
1973709,876.82,866.19,868,876.23,3944070,9916919
1987139,885.74,874.88,875.83,881.49,6102429,14629010
1989954,884.16,877.26,881.25,884.1,5127946,13003550
1981882,886.74,877.64,883.24,880.17,4239101,9739734
1961208,879.25,870.56,879.25,871.31,3597357,8414993
1962859,873.93,866.98,870.45,873.82,3676845,8040737
1961850,877.31,870.7,873.47,873.07,3355702,7069234
1958660,875.82,866.37,872.93,869.94,3937214,8492020
1940303,869.43,858.86,869.43,859.61,4606548,10286900
1959757,867.19,855.71,858.11,866.07,4737134,10303510
1981408,874,865.02,865.72,873.84,4368779,9842954
1982076,877.97,870.12,874.13,874.06,5018813,10259170
2007423,887.57,871.26,873.69,887.36,5793086,12719530
2009268,890.69,884.26,887.06,888.52,5082260,10699280
2013925,889.22,880.74,888,889.1,5160351,10607990
2028026,899.01,884.37,888.6,898.15,6757243,13868380
2026593,904.01,895.17,898.38,896.43,7532371,16324310
2033230,902.75,894.1,895.83,902.56,5563961,11701590
2040557,904.47,898.79,902.05,902.91,4516249,10246870
2047583,907.32,899.66,902.75,907.32,4977963,10811170
2037575,910.93,902.11,907.05,903.14,4964916,10490540
2045959,909.06,900.66,902.37,908.75,4476729,9094728
2060129,915.89,908.51,908.96,915.89,5799046,11907000
2080296,925,916.41,916.67,922.38,7501782,15342650
2070775,922.44,916,922.44,919.36,5893745,12573040
2075192,920.98,915.12,919.05,920.92,5731256,12131030
2100223,932.03,921.14,921.14,932.03,9655794,17689730
2080041,934,921.83,933.45,923.45,8517980,15600250
2080041,,,,923.45,,
2080041,,,,923.45,,
2122165,941.43,926.41,926.56,941.43,11442610,21126900
2157764,959.63,942.31,943.85,959.13,14693490,27311730
2174679,975.63,956.04,961.91,970.03,16170990,30286370
2180446,976.27,966.05,971.09,975.25,12626400,24329550
2188571,978.28,964.43,975.28,978.15,12344020,22735300
2168973,983.39,963.39,977.64,973.48,13488350,26524130
2191708,984.08,968.54,972.39,983.72,11028180,21896670
2176210,988.11,973.68,985.04,978.81,11215630,22281860
2144046,977.89,960.88,977.89,961.44,9896151,20305200
2157602,965.98,952.23,959.39,964.29,8076118,16037280
2199288,984.67,963.08,964.16,983.62,10389840,20823500
