Name,MARKET VALUE,PRICE HIGH,PRICE LOW,PRICE OPEN,PRICE INDEX,TURNOVER BY VALUE,VOLUME
11/21/2011,14964240,2613.26,2587.74,2608.56,2609.69,31175390,27971890
11/22/2011,14950830,2611.15,2580.78,2592.23,2609.47,31886720,29069070
11/23/2011,14837630,2617.09,2578.16,2613.29,2584.01,30958560,28531410
11/24/2011,14863540,2604.24,2557.69,2565.69,2588.91,31894720,30319600
11/25/2011,14755640,2598.39,2563.65,2585.14,2569.97,27509340,23913760
11/28/2011,14782440,2589.35,2562.49,2578.34,2573.32,29179540,25666930
11/29/2011,14956240,2609.19,2580.29,2595.09,2608.57,34962420,30025870
11/30/2011,14498650,2601.9,2507.18,2600.1,2521.52,42454190,42352640
12/1/2011,14842930,2630.66,2577.72,2596.15,2583.61,66146800,63520240
12/2/2011,14706780,2575.69,2543.53,2570.56,2557.31,33168420,32183700
12/5/2011,14587110,2561.2,2517.18,2561.2,2521.38,32749920,32063380
12/6/2011,14539730,2525.67,2499.57,2515.04,2516.34,26310930,26297570
12/7/2011,14581300,2534.53,2509.78,2517.34,2528.23,23433730,23261820
12/8/2011,14562670,2549.1,2494.69,2525.04,2525,27843680,27777740
12/9/2011,14475950,2525.16,2496.97,2506.62,2503.46,25477230,24029060
12/12/2011,14323820,2502.05,2476.12,2497.92,2477.69,21200430,21901250
12/13/2011,14097500,2472.66,2418.67,2467.02,2421.93,33269150,35717520
12/14/2011,13991880,2433.55,2392.3,2415.94,2397.48,23753600,25320100
12/15/2011,13701160,2384.47,2340.45,2382.44,2340.79,33900400,36750830
12/16/2011,13966390,2390.38,2332.14,2339.98,2390.13,33652050,36302340
12/19/2011,13913840,2387.89,2321.66,2370.42,2384.41,33711360,37909740
12/20/2011,13898670,2412.57,2373.86,2376.71,2377.07,29967650,32402320
12/21/2011,13760280,2404.77,2337.69,2397.27,2339.11,30917820,31209520
12/22/2011,13774330,2358.47,2294.61,2325.27,2341.33,31845440,36683860
12/23/2011,13881060,2382.71,2331.96,2337.38,2359.16,29910290,33161900
12/26/2011,13772640,2369.82,2334.79,2345.55,2335.7,25033040,28224080
12/27/2011,13643960,2346.38,2302.41,2332.83,2305.03,26777010,29277310
12/28/2011,13680940,2309.64,2267.11,2295.87,2307.93,28839260,32882020
12/29/2011,13712230,2323.49,2293.87,2297.29,2311.36,26868210,30887700
12/30/2011,13895360,2349.03,2318.67,2318.67,2345.74,32362640,35865230
1/2/2012,13895360,,,,2345.74,,
1/3/2012,13895360,,,,2345.74,,
1/4/2012,13852340,2365.99,2298.3,2361.5,2298.75,32572540,34344560
1/5/2012,13773900,2316.66,2272.15,2290.78,2276.38,37635260,43016480
1/6/2012,13871320,2291.88,2254.57,2274.35,2290.6,31079360,35198990
1/9/2012,14254370,2368.89,2271.72,2291.18,2368.57,51478110,54727330
1/10/2012,14635270,2449.95,2361.28,2365.77,2447.35,75249150,81154980
1/11/2012,14559520,2453.15,2423.32,2444.76,2435.61,57587220,58705660
1/12/2012,14544220,2464.38,2423.32,2426.82,2435.22,47877390,47121260
1/13/2012,14387320,2445.79,2374.54,2438.4,2394.33,47228340,45513980
